,Test_name,Computed_value,Total_weight,Optimal,Time
0,00-n00050-R01000,21334,12015,YES,0.0007579326629638672
1,00-n00100-R01000,41490,25946,YES,0.0
2,00-n00200-R01000,85469,48890,YES,0.0
3,00-n00500-R01000,205755,117473,YES,0.0015001296997070312
4,00-n01000-R01000,398663,245945,YES,0.0030059814453125
5,01-n00050-R01000,14539,13306,YES,0.0
6,01-n00100-R01000,28351,25367,YES,0.0010428428649902344
7,01-n00200-R01000,56664,51344,YES,0.0009984970092773438
8,01-n00500-R01000,137205,124921,YES,0.0010161399841308594
9,01-n01000-R01000,268724,242395,YES,0.005035877227783203
10,02-n00050-R01000,16627,13327,YES,0.1790459156036377
11,02-n00100-R01000,32272,25372,YES,0.12126898765563965
12,02-n00200-R01000,65253,51353,NO,150.06843972206116
13,02-n00500-R01000,160121,124921,NO,150.06719756126404
14,02-n01000-R01000,313428,242328,NO,150.03903889656067
15,03-n00050-R01000,14016,15716,YES,1.6084675788879395
16,03-n00100-R01000,27022,30322,YES,51.619006395339966
17,03-n00200-R01000,54854,61254,YES,1.986708641052246
18,03-n00500-R01000,133974,149674,NO,150.03702902793884
19,03-n01000-R01000,260595,291395,NO,150.07704401016235
20,04-n00050-R01000,16632,13327,YES,0.05000662803649902
21,04-n00100-R01000,32293,25371,YES,0.0186767578125
22,04-n00200-R01000,65258,51353,NO,150.00729894638062
23,04-n00500-R01000,160084,124921,NO,150.00703263282776
24,04-n01000-R01000,313490,242395,NO,150.02973747253418
25,05-n00050-R01000,13327,13327,YES,0.0
26,05-n00100-R01000,25372,25372,YES,0.0
27,05-n00200-R01000,51353,51353,YES,0.0
28,05-n00500-R01000,124921,124921,YES,0.0010046958923339844
29,05-n01000-R01000,242395,242395,YES,0.0033397674560546875
30,06-n00050-R01000,18586,2401241,YES,0.09832763671875
31,06-n00100-R01000,37417,4902508,YES,0.044028282165527344
32,06-n00200-R01000,77104,9904960,YES,0.0
33,06-n00500-R01000,189330,24711886,NO,150.0279095172882
34,06-n01000-R01000,371457,49524749,YES,0.041001319885253906
